,Airstrip ID,Original source of the airstrip’s location,Mining activity seen up to 20km of airstrip location,Latitude,Longitude,Attribution
0,48,Earthrise Media,True,3.11671623,-63.70780353,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
1,61,Earthrise Media,True,2.75932812,-62.90830532,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
2,66,Open Street Maps,True,2.6870895,-63.352787,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
3,67,Earthrise Media,True,2.658127422,-63.15315757,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
4,68,Earthrise Media,True,2.630448232,-63.04015719,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
5,69,Earthrise Media,True,2.61803619,-63.02829671,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
6,72,Open Street Maps,True,2.527714,-51.743822,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
7,74,Open Street Maps/Earthrise Media,True,2.4971425,-62.892893,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
8,77,Earthrise Media,True,2.459934293,-62.92539868,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
9,78,Open Street Maps,True,2.451026,-51.721913,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
10,80,Earthrise Media,True,2.348265658,-63.24953964,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
11,116,Open Street Maps,True,0.5437935,-53.663884,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
12,117,Open Street Maps,True,0.514983,-53.711351,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
13,120,Open Street Maps,True,0.3934527126,-53.75038145,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
14,121,Open Street Maps,True,0.3390595954,-53.81970242,"Collected as part of investigations by The Intercept Brasil and The New York Times
 
https://theintercept.com/2022/08/02/amazonia-pistas-clandestinas-garimpo/  

https://www.nytimes.com/interactive/2022/08/02/world/americas/brazil-airstrips-illegal-mining.html "
