id,admin_country,admin_country_code,admin_name_field,admin_id_field,admin_year,admin_illegality_max,intersected_area_ha
AMAZ,Bolivia,BO,Baures,BO080802,2023,1.0,27.355164274357364
AMAZ,Bolivia,BO,Bella Flor,BO090104,2018,3.0,27.276163665503876
AMAZ,Bolivia,BO,Chimoré,BO031204,2019,4.0,61.904061486661
AMAZ,Bolivia,BO,Chimoré,BO031204,2024,3.0,27.515266667131264
AMAZ,Bolivia,BO,Entre Ríos,BO031206,2018,3.0,27.4492460651392
AMAZ,Bolivia,BO,Entre Ríos,BO031206,2021,3.0,27.465802727290303
AMAZ,Bolivia,BO,Entre Ríos,BO031206,2022,3.0,27.457021602809622
AMAZ,Bolivia,BO,Exaltación,BO080402,2024,3.0,41.349495916584154
AMAZ,Bolivia,BO,Guanay,BO020602,2023,3.0,51.021217530860376
AMAZ,Bolivia,BO,Guayaramerín,BO080202,2022,3.0,41.36533565767125
AMAZ,Bolivia,BO,Inquisivi,BO021001,2023,1.0,27.12062512062199
AMAZ,Bolivia,BO,Ixiamas,BO021501,2023,4.0,27.29148927883555
AMAZ,Bolivia,BO,Ixiamas,BO021501,2024,4.0,27.255835750849045
AMAZ,Bolivia,BO,Magdalena,BO080801,2019,4.0,27.413614104279468
AMAZ,Bolivia,BO,Magdalena,BO080801,2022,4.0,27.43385730508602
AMAZ,Bolivia,BO,Mapiri,BO020607,2018,1.0,40.84691203749932
AMAZ,Bolivia,BO,Mapiri,BO020607,2018,3.0,64.4685796432841
AMAZ,Bolivia,BO,Mapiri,BO020607,2018,4.0,173.38526673234261
AMAZ,Bolivia,BO,Mapiri,BO020607,2019,1.0,27.25843514355221
AMAZ,Bolivia,BO,Mapiri,BO020607,2020,4.0,7.858052836626112
AMAZ,Bolivia,BO,Mapiri,BO020607,2021,1.0,13.615777139746537
AMAZ,Bolivia,BO,Mapiri,BO020607,2023,1.0,27.256685844011255
AMAZ,Bolivia,BO,Mapiri,BO020607,2023,3.0,64.71276158363655
AMAZ,Bolivia,BO,Mapiri,BO020607,2023,4.0,40.87328650467211
AMAZ,Bolivia,BO,Mapiri,BO020607,2024,3.0,27.255765233043405
AMAZ,Bolivia,BO,Mapiri,BO020607,2024,4.0,27.24884146414066
AMAZ,Bolivia,BO,Nueva Esperanza,BO090501,2018,1.0,27.56093495172516
AMAZ,Bolivia,BO,Nueva Esperanza,BO090501,2018,3.0,130.91801322149828
AMAZ,Bolivia,BO,Nueva Esperanza,BO090501,2020,3.0,13.782182491910728
AMAZ,Bolivia,BO,Nueva Esperanza,BO090501,2023,4.0,27.576352832717898
AMAZ,Bolivia,BO,Nueva Esperanza,BO090501,2024,4.0,34.472032359027224
AMAZ,Bolivia,BO,Puerto Rico,BO090201,2021,4.0,40.84310010413203
AMAZ,Bolivia,BO,Puerto Siles,BO080703,2018,3.0,41.27268372952277
AMAZ,Bolivia,BO,Puerto Villarroel,BO031205,2018,3.0,54.989601423010306
