id,admin_country,admin_country_code,admin_name_field,admin_id_field,intersected_area_ha
0,Bolivia,BO,Baures,BO080802,27.355164274357364
0,Bolivia,BO,Bella Flor,BO090104,27.27616366550388
0,Bolivia,BO,Chimoré,BO031204,89.42075665320698
0,Bolivia,BO,Entre Ríos,BO031206,82.37207039523912
0,Bolivia,BO,Exaltación,BO080402,41.349538227887116
0,Bolivia,BO,Guanay,BO020602,51.02251236397334
0,Bolivia,BO,Guayaramerín,BO080202,41.36533565253901
0,Bolivia,BO,Inquisivi,BO021001,27.120625120621984
0,Bolivia,BO,Ixiamas,BO021501,54.54732502968459
0,Bolivia,BO,Magdalena,BO080801,54.8474714093655
0,Bolivia,BO,Mapiri,BO020607,514.7855615046362
0,Bolivia,BO,Nueva Esperanza,BO090501,234.31243722436798
0,Bolivia,BO,Puerto Rico,BO090201,40.84310010176938
0,Bolivia,BO,Puerto Siles,BO080703,41.27268372952222
0,Bolivia,BO,Puerto Villarroel,BO031205,192.44191486682672
0,Bolivia,BO,Reyes,BO080301,19.1940558857572
0,Bolivia,BO,Riberalta,BO080201,82.7791517328937
0,Bolivia,BO,San Ignacio,BO080501,139.8732213465772
0,Bolivia,BO,San Javier,BO080102,27.505777548328474
0,Bolivia,BO,San Joaquín,BO080701,44.47641754701231
0,Bolivia,BO,Santa Rosa,BO080303,7.91109802602485
0,Bolivia,BO,Shinahota,BO031602,82.61681359420116
0,Bolivia,BO,TIOC-TIM,BO080901,27.59333248474399
0,Bolivia,BO,Tacacoma,BO020603,0.05323417484084646
0,Bolivia,BO,Teoponte,BO020608,95.165723738184
0,Bolivia,BO,Trinidad,BO080101,27.505466954913288
0,Bolivia,BO,Villa Tunari,BO031003,179.09180250197315
0,Bolivia,BO,Yapacaní,BO070403,109.6236755067982
1,Brasil,BR,Abaetetuba,1500107,841.2752404040352
1,Brasil,BR,Acará,1500206,247.8655516837959
1,Brasil,BR,Alcântara,2100204,40.95323077040112
1,Brasil,BR,Alenquer,1500404,61.00569816228064
1,Brasil,BR,Almeirim,1500503,5401.563234107422
1,Brasil,BR,Alta Floresta,5100250,3330.697315630441
1,Brasil,BR,Altamira,1500602,29514.73571965808
1,Brasil,BR,Alto Alegre,1400050,5171.828459489594
1,Brasil,BR,Alto Paraíso,1100403,72.40267668004799
1,Brasil,BR,Amajari,1400027,3101.3451388827493
1,Brasil,BR,Amapá,1600105,81.94559891259291
1,Brasil,BR,Amapá do Maranhão,2100550,98.15251220678478
1,Brasil,BR,Ananindeua,1500800,199.5439384396793
1,Brasil,BR,Anapu,1500859,2780.4331468149016
1,Brasil,BR,Apiacás,5100805,17184.574441894016
1,Brasil,BR,Apuí,1300144,293.03333338470213
1,Brasil,BR,Araguatins,1702208,27.073305646513035
1,Brasil,BR,Aripuanã,5101407,3269.52227237965
1,Brasil,BR,Ariquemes,1100023,6178.194587482343
1,Brasil,BR,Augusto Corrêa,1500909,41.25525177703435
1,Brasil,BR,Açailândia,2100055,13.614275451787956
1,Brasil,BR,Bandeirantes do Tocantins,1703057,124.43186321596804
1,Brasil,BR,Bannach,1501253,2228.0494566603265
1,Brasil,BR,Barcarena,1501303,1054.7657598398443
1,Brasil,BR,Barcelos,1300409,389.6037413110185
1,Brasil,BR,Belém,1501402,121.88606476748267
1,Brasil,BR,Benevides,1501501,140.68636890432668
1,Brasil,BR,Boa Vista,1400100,128.76435181682234
1,Brasil,BR,Boa Vista do Gurupi,2101970,27.466712698917686
1,Brasil,BR,Boca do Acre,1300706,40.748811600375994
1,Brasil,BR,Bom Jardim,2102002,31.427389893307605
1,Brasil,BR,Bom Jesus das Selvas,2102036,15.35394023411425
1,Brasil,BR,Bom Jesus do Tocantins,1501576,83.48258592856473
1,Brasil,BR,Bonfim,1400159,56.24894247291898
1,Brasil,BR,Borba,1300805,503.5546522945119
1,Brasil,BR,Bragança,1501709,226.9886112229429
1,Brasil,BR,Brejo Grande do Araguaia,1501758,27.09669481699058
1,Brasil,BR,Breu Branco,1501782,270.3168219637411
1,Brasil,BR,Breves,1501808,54.39944835670395
1,Brasil,BR,Bujari,1200138,29.327558929768664
1,Brasil,BR,Buriticupu,2102325,37.98849569135553
1,Brasil,BR,Cachoeira do Arari,1502004,54.24547262851607
