country,name_field,count
Ecuador,Sin Información,37
Peru,VILLA GONZALO,10
Peru,SANTA MARTHA,8
Peru,CHICOSA,8
Peru,ALIANZA PROGRESO,8
Peru,NUEVA LUZ,7
Ecuador,Cuyabeno - Imuya,7
Peru,SANTO TORIBIO DE MOGROVEJO,7
Peru,KOCHIRI,7
Peru,PUERTO NUEVO,6
Peru,SANTA CLARA,6
Peru,MAYAPO,6
Peru,NUEVA JERUSALEN,6
Ecuador,San Lorenzo,6
Peru,NUEVA VIDA,6
Peru,SANTA ELENA,6
Peru,CANDUNGOS,5
Peru,CARPINTERO,5
Peru,CASHIRIARI,5
Peru,NUEVO UNIDOS TAHUANTINSUYO,5
Peru,SHAIM,5
Peru,NUEVE DE OCTUBRE,5
Peru,KIVINAKI,5
Peru,BELLAVISTA,5
Peru,NUEVA UNION,5
Peru,SAN ANTONIO,5
Peru,BUENOS AIRES,5
Peru,BELEN,5
Peru,SANTA ELISA,5
Venezuela,Territorio tradicional Jivi,5
Venezuela,Territorio tradicional Mako,5
Peru,VISTA ALEGRE,5
Peru,SAN JOSE DE KARENE,5
Venezuela,Territorio tradicional Kari'ña,5
Peru,CAYAMAS,4
Peru,AJACHIN,4
Peru,PIJUAYAL,4
Peru,PAPAYACU O SAN MARTIN,4
Peru,PAMPA HERMOSA,4
Peru,CHIPE CUZU,4
Peru,WAWAIM,4
Peru,SANTA MARIA,4
Peru,ACHU,4
Peru,SANTA MARGARITA,4
Peru,NUEVO PROGRESO,4
Peru,CALLERIA,4
Peru,CAMISEA,4
Peru,WEE,4
Peru,MIARIA,4
Peru,POYENI,4
Peru,SAN RAFAEL,4
Peru,NUEVO LORETO,4
Peru,NUEVO HAHUAYPA,4
Peru,CHENI,4
Ecuador,Cañari,4
Peru,SAN PEDRO DE PICHANAZ,4
Peru,SAN CARLOS,4
Peru,PUCACURO,4
Peru,SAN JOSE DE KORIBENI,4
Peru,AMAQUIRIA,4
Peru,ROYA,4
Peru,SANTA TERESA,4
Peru,SAN JORGE,4
Peru,YAGUAS DE NUEVA ESPERANZA DE ATUN CAÑO,4
Peru,PUERTO PORVENIR,4
Peru,SAPANI,4
Ecuador,Yukias Sagrado C,4
Peru,SEPTIMO UNIDOS DE SANTA FE DE AGUACHINI,4
Peru,YUTUPIS,4
Peru,SENSA,4
Peru,PUERTO CONSUELO,4
Peru,SAN JUAN,4
Peru,SEMPAYA,4
Peru,HUACAMAYO,3
Peru,NARANJAL,3
Ecuador,Centro Shuar Pankints,3
Peru,TSACHOPEN,3
Peru,HUAGRAMONA,3
