it_id,admin_country,admin_country_code,admin_name_field,it_intersected_area_ha
82,Bolivia,BO,Mapiri,40.84691203749932
172,Brasil,BR,Altamira,233.61121298929987
201,Brasil,BR,São Félix do Xingu,158.08620053219005
228,Brasil,BR,Itaituba,62.17385026980655
228,Brasil,BR,Jacareacanga,9122.894669463321
231,Brasil,BR,Espigão D'Oeste,190.45997650052607
251,Brasil,BR,Itaituba,810.897584085778
264,Brasil,BR,Anapu,1975.3228053895648
273,Brasil,BR,São Gabriel da Cachoeira,27.241057044739033
297,Brasil,BR,Guajará-Mirim,27.51392426631814
308,Brasil,BR,Alto Alegre,366.92052660192104
308,Brasil,BR,Amajari,377.1916715827694
308,Brasil,BR,Iracema,363.2228780078477
308,Brasil,BR,Mucajaí,162.73030708012777
308,Venezuela,VE,Ikabaru,27.247011195034535
313,Brasil,BR,Nova Esperança do Piriá,13.405564417583545
313,Brasil,BR,Paragominas,14.094080364145798
325,Brasil,BR,Bom Jesus do Tocantins,56.353205543764574
342,Brasil,BR,Guajará-Mirim,70.91185830622098
366,Brasil,BR,Juína,33.977416037908235
406,Brasil,BR,Aripuanã,98.74667884492854
442,Brasil,BR,Normandia,11.017032082795671
442,Brasil,BR,Uiramutã,54.18602660647521
445,Brasil,BR,Apiacás,27.396088460724144
446,Brasil,BR,Bannach,353.44793037574
446,Brasil,BR,Cumaru do Norte,5139.522619692616
446,Brasil,BR,Ourilândia do Norte,14023.831841612235
446,Brasil,BR,Tucumã,76.50464201170495
449,Brasil,BR,Altamira,40.57127500593691
454,Brasil,BR,Vilhena,631.6369406133047
462,Brasil,BR,Altamira,54.19629826019908
516,Brasil,BR,Rondolândia,192.11158679463483
530,Brasil,BR,Novo Aripuanã,1803.058670549157
537,Colombia,CO,Putumayo,171.37180683246334
650,Colombia,CO,Guainía,39.85811458799285
658,Colombia,CO,Guainía,129.84610196153153
721,Colombia,CO,Cauca,27.480884557355747
734,Colombia,CO,Vaupés,41.28633616915901
752,Colombia,CO,Guainía,61.34566870649557
884,Ecuador,EC,NANGARITZA,20.945256167207297
887,Ecuador,EC,EL PANGUI,24.555957933065912
905,Ecuador,EC,YANTZAZA,169.07598124207857
1110,Ecuador,EC,NANGARITZA,15.349014322338258
1146,Ecuador,EC,NANGARITZA,6.150805561288774
1184,Ecuador,EC,NANGARITZA,27.416560061349493
1184,Ecuador,EC,PAQUISHA,132.16010464281533
1449,Ecuador,EC,NANGARITZA,6.920103628926493
1493,Ecuador,EC,EL PANGUI,47.01931629994891
1532,Guyana_Francesa,GF,Maripasoula,237.8997972294003
1544,Guyana,GY,Cuyuni-Mazaruni,54.3465845645254
1548,Guyana,GY,Barima-Waini,949.6579256447341
1551,Guyana,GY,Cuyuni-Mazaruni,96.29554257582683
1551,Venezuela,VE,San Isidro,20.595382296499256
1552,Guyana,GY,Potaro-Siparuni,37.53123937614965
1552,Guyana,GY,Upper Takutu-Upper Essequibo,212.44902171112432
1571,Guyana,GY,Barima-Waini,134.18858188313814
1576,Guyana,GY,Potaro-Siparuni,321.1465063536814
1578,Guyana,GY,Cuyuni-Mazaruni,78.88353387554318
1592,Guyana,GY,Cuyuni-Mazaruni,618.4443681629057
1595,Guyana,GY,Potaro-Siparuni,82.78493668685832
1596,Guyana,GY,Cuyuni-Mazaruni,597.3857917449814
1599,Guyana,GY,Cuyuni-Mazaruni,25.707063212904206
1606,Guyana,GY,Barima-Waini,55.25166460461783
1622,Guyana,GY,Potaro-Siparuni,328.49487290313135
1625,Guyana,GY,Potaro-Siparuni,455.42795669716327
1632,Guyana,GY,Cuyuni-Mazaruni,336.2834737571814
1632,Guyana,GY,Essequibo Islands-West Demerara,116.0907329598684
1641,Guyana,GY,Upper Demerara-Berbice,157.77903784565294
1642,Guyana,GY,Barima-Waini,193.15633804631622
1646,Guyana,GY,Cuyuni-Mazaruni,185.83231855999992
2275,Peru,PE,LA CONVENCION,27.147621355226228
2416,Peru,PE,TAMBOPATA,95.04765295828608
2417,Peru,PE,TAMBOPATA,559.1279194975449
2418,Peru,PE,TAMBOPATA,1100.7949424807175
2578,Peru,PE,TAMBOPATA,187.1770717475245
2618,Peru,PE,MANU,27.460573658297847
2677,Peru,PE,MANU,2229.973101267017
2678,Peru,PE,MANU,4363.676361828766
2709,Peru,PE,TAMBOPATA,25.361460138547805
2790,Peru,PE,TAMBOPATA,2315.175705478459
2791,Peru,PE,TAMBOPATA,176.79865823396574
2868,Peru,PE,MANU,9.812818160151442
2917,Peru,PE,MANU,217.05563315667368
2974,Peru,PE,MANU,1.794846095961416
2975,Peru,PE,MANU,2232.2458980650563
2976,Peru,PE,MANU,821.7317145898835
3080,Peru,PE,TAMBOPATA,395.2369274908314
3564,Peru,PE,TAMBOPATA,60.41689614049437
3565,Peru,PE,MANU,783.2049003085642
3633,Peru,PE,TAMBOPATA,60.41689614049437
3634,Peru,PE,MANU,783.2049003085642
3656,Peru,PE,REQUENA,27.224244260497038
3675,Venezuela,VE,Pijiguaos,27.119494015001912
3686,Guyana,GY,Cuyuni-Mazaruni,572.8608016239875
3686,Venezuela,VE,Dalla Costa,893.0259781727286
3686,Venezuela,VE,San Isidro,126.3835909717285
3699,Venezuela,VE,Guainiamo,181.6689851379449
3700,Guyana,GY,Barima-Waini,86.2822553204991
3700,Venezuela,VE,Sección Capital Sifontes,414.73374308259184
3702,Brasil,BR,Amajari,1.3345907179040906e-07
3702,Venezuela,VE,Barceloneta,1891.2223434126672
3702,Venezuela,VE,Ikabaru,9061.469085038889
3702,Venezuela,VE,Sección Capital Gran Sabana,151.94636183225916
3703,Guyana,GY,Cuyuni-Mazaruni,17.580924383079193
3703,Venezuela,VE,Barceloneta,17522.432083554
3703,Venezuela,VE,Dalla Costa,7531.1293910459835
3703,Venezuela,VE,Ikabaru,1724.120417820204
3703,Venezuela,VE,Pedro Cova,3576.7597997649887
3703,Venezuela,VE,San Isidro,24376.478101885186
3703,Venezuela,VE,Sección Capital Gran Sabana,4011.799817323619
3705,Venezuela,VE,Ariapo,260.9469535191138
3705,Venezuela,VE,Barceloneta,27.45229762690473
3713,Venezuela,VE,Solano,100.95816011955961
3715,Venezuela,VE,Medio Ventuari,250.84671601013275
3723,Venezuela,VE,Yacapana,3470.951869434704
