id,admin_country,admin_country_code,admin_name_field,admin_id_field,intersected_area_ha
15,Bolivia,BO,Reyes,080301,13.03990016034797
29,Bolivia,BO,Magdalena,080801,27.413614104279468
82,Bolivia,BO,Mapiri,020607,40.84691203749932
109,Bolivia,BO,San Ignacio,080501,55.14289285618172
172,Brasil,BR,Altamira,1500602,504.89850894669945
201,Brasil,BR,São Félix do Xingu,1507300,622.138251967915
228,Brasil,BR,Itaituba,1503606,75.94712522301353
228,Brasil,BR,Jacareacanga,1503754,18865.433960667608
231,Brasil,BR,Espigão D'Oeste,1100098,528.8231759639439
251,Brasil,BR,Itaituba,1503606,865.5054597372787
264,Brasil,BR,Anapu,1500859,1975.3228053628675
273,Brasil,BR,São Gabriel da Cachoeira,1303809,27.241057044739026
297,Brasil,BR,Guajará-Mirim,1100106,27.51392426631814
308,Brasil,BR,Alto Alegre,1400050,884.1778198994672
308,Brasil,BR,Amajari,1400027,691.6103404334901
308,Brasil,BR,Iracema,1400282,781.9092763056136
308,Brasil,BR,Mucajaí,1400308,1180.6592482839267
308,Venezuela,VE,Ikabaru,070402,27.247011195034535
313,Brasil,BR,Nova Esperança do Piriá,1504950,13.405564417583545
313,Brasil,BR,Paragominas,1505502,14.094080364145798
325,Brasil,BR,Bom Jesus do Tocantins,1501576,56.353205543764574
342,Brasil,BR,Guajará-Mirim,1100106,70.91185830622098
366,Brasil,BR,Juína,5105150,33.977416037908235
406,Brasil,BR,Aripuanã,5101407,98.74670241291335
442,Brasil,BR,Normandia,1400407,21.01866607939257
442,Brasil,BR,Uiramutã,1400704,54.18602660647521
445,Brasil,BR,Apiacás,5100805,27.396088460724144
446,Brasil,BR,Bannach,1501253,381.82418340994025
446,Brasil,BR,Cumaru do Norte,1502764,7569.2102327880275
446,Brasil,BR,Ourilândia do Norte,1505437,18032.253480531923
446,Brasil,BR,Tucumã,1508084,77.40844561156707
449,Brasil,BR,Altamira,1500602,40.57127500593691
454,Brasil,BR,Vilhena,1100304,837.7928540643086
462,Brasil,BR,Altamira,1500602,88.06884414856194
470,Brasil,BR,Pau D'Arco,1505551,7.276045360997922
470,Brasil,BR,Redenção,1506138,35.666770943299724
472,Brasil,BR,Boa Vista,1400100,27.06995474604729
501,Brasil,BR,Jacareacanga,1503754,27.426984669259692
