id,admin_country,admin_country_code,admin_name_field,admin_id_field,admin_year,admin_illegality_max,intersected_area_ha
BO103_0,Bolivia,BO,Guanay,BO020602,202400,1.0,17.62000036239624
BO109_0,Bolivia,BO,La Guardia,BO070104,202400,4.0,5.179993572833291
BO109_0,Bolivia,BO,La Guardia,BO070104,202502,4.0,3.601528038812774
BO109_0,Bolivia,BO,Porongo,BO070103,202400,4.0,109.48025283735821
BO109_0,Bolivia,BO,Porongo,BO070103,202502,4.0,44.351638728647856
BO126_0,Bolivia,BO,Porongo,BO070103,202502,4.0,0.058018113447086093
BO126_0,Bolivia,BO,Santa Cruz de la Sierra,BO070101,202400,4.0,11.06910805335988
BO126_0,Bolivia,BO,Santa Cruz de la Sierra,BO070101,202502,4.0,53.0147229207035
BO126_0,Bolivia,BO,Santa Cruz de la Sierra,BO070101,202503,4.0,20.921017626604417
BO14_0,Bolivia,BO,San Javier,BO080102,201900,3.0,0.6358773419267435
BO193_0,Bolivia,BO,Puerto Villarroel,BO031205,201800,3.0,1.8997973931978518
BO220_0,Bolivia,BO,Nueva Esperanza,BO090501,201800,1.0,0.04460353921279333
BO220_0,Bolivia,BO,Nueva Esperanza,BO090501,201800,3.0,49.751504207035964
BO220_0,Bolivia,BO,Nueva Esperanza,BO090501,202000,3.0,0.0
BO220_0,Bolivia,BO,Nueva Esperanza,BO090501,202502,3.0,3.822267817323242
BO49_0,Bolivia,BO,Cocapata,BO030303,202400,4.0,21.94134896585526
BO49_0,Bolivia,BO,Inquisivi,BO021001,202400,4.0,8.776558258147887
BO5_0,Bolivia,BO,Baures,BO080802,202300,1.0,12.069999694824219
BO5_0,Bolivia,BO,Baures,BO080802,202400,1.0,4.199999809265138
BO5_0,Bolivia,BO,Magdalena,BO080801,201900,4.0,2.130000114440918
BO5_0,Bolivia,BO,Magdalena,BO080801,202200,4.0,1.1299999952316284
BOAP-0301_0,Bolivia,BO,San Ignacio,BO080501,201900,4.0,5.539999961853027
BOAP-0301_0,Bolivia,BO,Villa Tunari,BO031003,202200,4.0,1.7799999713897705
BOAP-0301_0,Bolivia,BO,Villa Tunari,BO031003,202300,4.0,3.0199999809265137
BOAP-0405_0,Bolivia,BO,Apolo,BO020701,202400,4.0,18.668273137724462
BOAP-0405_0,Bolivia,BO,Apolo,BO020701,202503,4.0,0.16814489960632084
BOAP-0405_0,Bolivia,BO,Charazani,BO021601,202400,4.0,140.6900363015514
BOAP-0405_0,Bolivia,BO,Charazani,BO021601,202503,4.0,1.63000001385808
BOAP-0405_0,Bolivia,BO,Guanay,BO020602,202400,4.0,0.9447039579100077
BOAP-0405_0,Bolivia,BO,Mapiri,BO020607,201800,4.0,47.64011274745704
BOAP-0405_0,Bolivia,BO,Mapiri,BO020607,202400,4.0,1331.7010682544155
BOAP-0405_0,Bolivia,BO,Mapiri,BO020607,202502,4.0,37.93273212365864
BOAP-0405_0,Bolivia,BO,Mapiri,BO020607,202503,4.0,53.055483082448326
BOAP-0405_0,Bolivia,BO,Tacacoma,BO020603,202400,4.0,8.39169022268036
BOAP-0405_0,Bolivia,BO,Tacacoma,BO020603,202503,4.0,0.01486570020236659
BOAP-0604_0,Bolivia,BO,Filadelfia,BO090203,202400,4.0,5.51810803078449
BOAP-0604_0,Bolivia,BO,Puerto Rico,BO090201,202100,4.0,0.7900000214576721
BOAP-1301_0,Bolivia,BO,Shinahota,BO031602,202200,4.0,1.3299999237060547
BOAP-1601_0,Bolivia,BO,Apolo,BO020701,202400,4.0,780.7154593506095
BOAP-1601_0,Bolivia,BO,Apolo,BO020701,202503,4.0,19.149999618530277
BOAP-1601_0,Bolivia,BO,Ixiamas,BO021501,202300,4.0,2.009999990463257
BOAP-1601_0,Bolivia,BO,Ixiamas,BO021501,202400,4.0,6.269999980926514
BOAP-1601_0,Bolivia,BO,Pelechuco,BO020702,202400,4.0,49.98321537854061
BR1001_0,Brasil,BR,Parauapebas,1505536,201800,3.0,1.666534974675901
BR1001_0,Brasil,BR,Parauapebas,1505536,202200,3.0,2.274821612240468
BR1001_0,Brasil,BR,Parauapebas,1505536,202300,3.0,2.6821820974705197
BR1001_0,Brasil,BR,Parauapebas,1505536,202400,2.0,0.828865326997893
BR1001_0,Brasil,BR,Parauapebas,1505536,202400,3.0,1.0873308919092215
BR1001_0,Brasil,BR,Parauapebas,1505536,202502,3.0,15.653941374376211
BR1001_0,Brasil,BR,Parauapebas,1505536,202503,3.0,0.4816638168399529
BR1012_0,Brasil,BR,Altamira,1500602,201800,3.0,1.9300000220537183
BR1012_0,Brasil,BR,Altamira,1500602,201900,3.0,76.14213903803476
BR1012_0,Brasil,BR,Altamira,1500602,202000,3.0,3.830981645510444
BR1012_0,Brasil,BR,Altamira,1500602,202300,2.0,0.0
BR1012_0,Brasil,BR,Altamira,1500602,202300,3.0,0.0
BR1012_0,Brasil,BR,Altamira,1500602,202400,2.0,4.520464471620496
BR1012_0,Brasil,BR,Altamira,1500602,202400,3.0,3.1612944991406815
BR1012_0,Brasil,BR,Altamira,1500602,202502,2.0,0.119999997317791
BR1012_0,Brasil,BR,Altamira,1500602,202502,3.0,9.294960507130728
BR1012_0,Brasil,BR,Altamira,1500602,202503,3.0,10.369999855756761
BR1012_0,Brasil,BR,Itaituba,1503606,201800,3.0,3.6100000739097595
BR1012_0,Brasil,BR,Itaituba,1503606,201800,4.0,1.122993000019548
BR1012_0,Brasil,BR,Itaituba,1503606,201900,2.0,3.4400000572204603
BR1012_0,Brasil,BR,Itaituba,1503606,201900,3.0,162.89786469327845
BR1012_0,Brasil,BR,Itaituba,1503606,201900,4.0,3.8473387664139502
BR1012_0,Brasil,BR,Itaituba,1503606,202000,2.0,0.0
BR1012_0,Brasil,BR,Itaituba,1503606,202000,3.0,58.914271058131504
BR1012_0,Brasil,BR,Itaituba,1503606,202000,4.0,0.0
