country,name_field,status_field,count
Colombia,La Esperanza,REGISTRADA,4
Colombia,El Paraíso,REGISTRADA,4
Venezuela,Piedra de Cocuy,creada,3
Colombia,San Francisco,REGISTRADA,2
Venezuela,Cerro Camaní y Cerro Morrocoy,creada,2
Venezuela,Cerro Guaiquinima,creada,2
Venezuela,Cerro Guanay,creada,2
Venezuela,Cerro Ichum y Guanacoco,creada,2
Venezuela,Cerro Tamacuari y Serranía Tapirapecó,creada,2
Venezuela,Cerro Vinilla y Aratitiyope,creada,2
Colombia,Las Mercedes,REGISTRADA,2
Venezuela,Duida Marahuaca,creada,2
Venezuela,Macizo Cuao-Sipapo y Cerro Moriche,creada,2
French Guiana,Parc Amazonien de Guyane,creada,2
Venezuela,Cerro Yavi,creada,2
Venezuela,Macizo Parú-Euaja,creada,2
Venezuela,Serranía Yutajé / Corocoro,creada,2
Colombia,Buenos Aires,REGISTRADA,2
Venezuela,Tortuga Arrau,creada,2
Venezuela,Sierra Unturán,creada,2
Colombia,El Silencio,REGISTRADA,2
Venezuela,Sierra Marutaní,creada,2
Venezuela,Sierra Maigualida,creada,2
