date_published,id,type,country,country_code,name,status,admin_year,intersected_area_ha_cumulative,illegality_very_high_affected_area_ha,illegality_very_high_affected_area_pct,illegality_high_affected_area_ha,illegality_high_affected_area_pct,illegality_medium_affected_area_ha,illegality_medium_affected_area_pct,illegality_low_affected_area_ha,illegality_low_affected_area_pct,illegality_na_affected_area_ha,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy
2026-09-22,AMAZ,national_admin,Entire Amazon,,Entire Amazon,,202503,1105338.0,27461.26,0.025,319465.51,0.289,150898.82,0.137,185935.79,0.168,421576.62,-79.6125,-20.4788133408,-43.6947206152,10.0591514308
2026-09-22,BOL,national_admin,Bolivia,BO,Bolivia,,202503,18844.2,12350.33,0.655,749.47,0.04,80.18,0.004,5663.92,0.301,0.3,-69.5747,-20.4788133408,-57.747,-9.6709
2026-09-22,BRA,national_admin,Brazil,BR,Brazil,,202503,483850.15,13630.13,0.028,274316.56,0.567,98213.34,0.203,97558.47,0.202,131.65,-73.9897,-18.0417666687,-43.6968385711,5.2649
2026-09-22,COL,national_admin,Colombia,CO,Colombia,,202503,530.14,122.65,0.231,168.62,0.318,228.36,0.431,10.5,0.02,0.01,-77.6662096428,-4.2284,-66.8377,6.1666555302
2026-09-22,ECU,national_admin,Ecuador,EC,Ecuador,,202503,11598.96,63.41,0.005,5135.31,0.443,2245.17,0.194,4155.07,0.358,0.0,-79.4277878852,-5.0158,-75.1871,0.7345833336
2026-09-22,GUF,national_admin,FrenchGuiana,GF,FrenchGuiana,,202503,24358.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24358.6,-54.5418,2.1287,-51.6080607269,5.751
2026-09-22,GUY,national_admin,Guyana,GY,Guyana,,202503,176588.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176588.8,-61.3869,1.1768,-56.4803,8.5308
2026-09-22,PER,national_admin,Peru,PE,Peru,,202503,169079.41,1294.73,0.008,39094.08,0.231,50131.77,0.296,78547.83,0.465,11.0,-79.6125,-15.5214006212,-68.6522,-0.039
2026-09-22,SUR,national_admin,Suriname,SR,Suriname,,202503,120143.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120143.71,-58.0866,1.8311,-53.9775,6.0001502046
2026-09-22,VEN,national_admin,Venezuela,VE,Venezuela,,202503,100344.03,0.0,0.0,1.47,0.0,0.0,0.0,0.0,0.0,100342.56,-67.8589,0.6488,-59.8072,10.0591300249
